shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4525_55,53.3362511116131,-6.32585990911512,339,6707.563
4525_55,53.336136,-6.3260188,340,6724.181
4525_55,53.3360748602738,-6.3261030927589,341,6733.003
4525_55,53.3359873,-6.3262241,342,6745.65
4525_55,53.3358501,-6.3264135,343,6765.458
4525_55,53.3358142,-6.3264629,344,6770.634
4525_55,53.3357246,-6.3265882,345,6783.639
4525_55,53.3355808,-6.3267787,346,6804.064
4525_55,53.3354063,-6.3270101,347,6828.859
4525_55,53.3353090831619,-6.32713904443056,348,6842.674
4525_55,53.3349764,-6.3275804,349,6889.954
4525_55,53.3348266,-6.3277864,350,6911.547
4525_55,53.3347544,-6.3278812,351,6921.767
4525_55,53.3345034,-6.328119,352,6953.882
4525_55,53.3344603,-6.3281585,353,6959.353
4525_55,53.3343712,-6.3282399,354,6970.655
4525_55,53.3342823,-6.3283454,355,6982.791
4525_55,53.3342216,-6.3283981,356,6990.405
4525_55,53.3341501,-6.3284055,357,6998.377
4525_55,53.3340976,-6.3283806,358,7004.451
4525_55,53.3340653,-6.3284024,359,7008.328
4525_55,53.3340085,-6.3284408,360,7015.148
4525_55,53.3339036,-6.3284874,361,7027.228
4525_55,53.3338543,-6.3285349,362,7033.562
4525_55,53.3337448,-6.3286405,363,7047.634
4525_55,53.3336175,-6.3287476,364,7063.497
4525_55,53.3333175,-6.3289824,365,7100.367
4525_55,53.3331296652811,-6.32910294022078,366,7122.762
4525_55,53.3326657,-6.329401,367,7178.084
4525_55,53.3323872,-6.3295443,368,7210.517
4525_55,53.3320563,-6.3297669,369,7250.218
4525_55,53.331852,-6.3299257,370,7275.296
4525_55,53.3317111931629,-6.33004256879277,371,7292.795
4525_55,53.3316436,-6.3300988,372,7301.198
4525_55,53.3313568,-6.3303884,373,7338.496
4525_55,53.3309872,-6.3307981,374,7387.863
4525_55,53.3306386,-6.3312126,375,7435.485
4525_55,53.3303167,-6.3316351,376,7481.046
4525_55,53.3301948,-6.331818,377,7499.282
4525_55,53.3300237238595,-6.33213034502121,378,7527.488
4525_55,53.3300152,-6.332146,379,7528.898
4525_55,53.329901,-6.3323515,380,7547.58
4525_55,53.3295471,-6.333012,381,7606.638
4525_55,53.3293829,-6.3333643,382,7636.386
4525_55,53.3291887,-6.3337903,383,7672.062
4525_55,53.3290753,-6.3340696,384,7694.547
4525_55,53.3289891,-6.3342821,385,7711.649
4525_55,53.3288004,-6.3347554,386,7749.537
4525_55,53.3287795738212,-6.33481130816585,387,7753.925
4525_55,53.3286806,-6.3350786,388,7774.865
4525_55,53.3285718,-6.3354124,389,7800.188
4525_55,53.3284755,-6.3357359,390,7824.26
4525_55,53.3284327,-6.335899,391,7836.126
4525_55,53.3282217,-6.3367028,392,7894.604
4525_55,53.3279448244465,-6.33791513172584,393,7981.059
4525_55,53.3277823,-6.3386272,394,8031.835
4525_55,53.3275821,-6.3394691,395,8092.194
4525_55,53.3273328,-6.3403507,396,8157.158
4525_55,53.3272699,-6.3405731,397,8173.547
4525_55,53.3270259,-6.3415628,398,8244.864
4525_55,53.3267419,-6.3427043,399,8327.23
4525_55,53.3266782,-6.3429553,400,8345.395
4525_55,53.3264261282586,-6.34389266833541,401,8413.864
4525_55,53.3263271,-6.3442612,402,8440.78
4525_55,53.3258914,-6.3458358,403,8556.363
4525_55,53.3258816,-6.34587,404,8558.89
4525_55,53.3257675,-6.3462455,405,8586.948
4525_55,53.3255439,-6.3469125,406,8637.885
4525_55,53.3254849778515,-6.34707905936983,407,8650.776
4525_55,53.324667292581,-6.3493957739176,408,8829.975
4525_55,53.3246469099062,-6.34945143324019,409,8834.323
4525_55,53.3245929,-6.3495994,410,8845.871
4525_55,53.3244777,-6.3499201,411,8870.791
4525_55,53.3243772,-6.3501925,412,8892.112
4525_55,53.3242217,-6.3506143,413,8925.12
4525_55,53.3241782,-6.3507299,414,8934.218
4525_55,53.3240908,-6.3509668,415,8952.76
4525_55,53.3240071,-6.3511958,416,8970.638
4525_55,53.3238615,-6.3515941,417,9001.735
4525_55,53.3238355,-6.351669,418,9007.504
4525_55,53.3237979,-6.3517773,419,9015.846
4525_55,53.3237623,-6.3518802,420,9023.765
4525_55,53.3235332,-6.352541,421,9074.648
4525_55,53.3234716,-6.3527047,422,9087.532
4525_55,53.3233589,-6.3530213,423,9112.076
4525_55,53.3232735,-6.3532612,424,9130.674
4525_55,53.3231891,-6.3534978,425,9149.027
4525_55,53.3227916,-6.3546156,426,9235.661
4525_55,53.3227494,-6.35473,427,9244.615
4525_55,53.3227138,-6.3548319,428,9252.476
4525_55,53.3225988,-6.3551557,429,9277.564
4525_55,53.3223485244302,-6.35585978273772,430,9332.128
4525_55,53.3222557,-6.3561211,431,9352.375
4525_55,53.3216557,-6.3578099,432,9483.235
4525_55,53.3215131,-6.3582046,433,9513.955
4525_55,53.3210664,-6.3594316,434,9609.649
4525_55,53.3202645,-6.3617018,435,9785.3
4525_55,53.3201415299769,-6.36203450643208,436,9811.355
4525_55,53.319913,-6.3626533,437,9859.806
4525_55,53.3195651,-6.3635951,438,9933.552
4525_55,53.3194955,-6.3637841,439,9948.338
4525_55,53.3191098,-6.3648311,440,10030.26
4525_55,53.3190223,-6.3650781,441,10049.386
4525_55,53.318847,-6.3655298,442,10085.258
4525_55,53.3187985,-6.3656549,443,10095.19
4525_55,53.3187409,-6.3658349,444,10108.792
4525_55,53.318713,-6.3659065,445,10114.485
4525_55,53.3186743,-6.3660525,446,10125.125
4525_55,53.318633,-6.3661645,447,10133.891
4525_55,53.3185829,-6.3662697,448,10142.849
4525_55,53.3185202,-6.3663784,449,10152.907
4525_55,53.3184767,-6.3664521,450,10159.804
4525_55,53.3184223,-6.3665272,451,10167.659
4525_55,53.3183675,-6.3665877,452,10174.97
4525_55,53.3182535,-6.3666919,453,10189.434
4525_55,53.3181211,-6.3668053,454,10205.994
4525_55,53.3180502,-6.3668807,455,10215.349
4525_55,53.317986,-6.366967,456,10224.522
4525_55,53.3179319,-6.3670617,457,10233.244
4525_55,53.3178638,-6.3672034,458,10245.353
4525_55,53.3177989,-6.3673752,459,10258.891
4525_55,53.3177461,-6.3675461,460,10271.707
4525_55,53.3177082,-6.3677012,461,10282.871
4525_55,53.3176617,-6.36791,462,10297.718
4525_55,53.3176318,-6.368091,463,10310.231
